,Katun_RGB,Sutra_RGB,Polyester_RGB,Rayon_RGB
mean_R,0.6126598933943952,0.46010984563693247,1.8453378212449123,0.4584780418682671
mean_G,0.7417363921552852,0.4917237561548474,1.8583380741253026,0.40606705566251455
mean_B,0.5786541561144652,0.4650915534232165,1.778942982412608,0.4077028768184954
contrast_R,0.09171239266708363,0.379038330988975,0.04267532888981304,0.34121879672115185
dissimilarity_R,0.06366114591194143,0.11912994239274936,0.041288443486162854,0.06885177593018589
homogeneity_R,0.02913676127690219,0.037316134674434086,0.020507587140874778,0.013756220982021346
energy_R,0.04650584664878476,0.020421732512801667,0.034708046140925736,0.007188401195887811
correlation_R,0.01417634488214046,0.05040031256327628,0.030447447031921825,0.01151838269298189
asm_R,0.040846647344179594,0.010081876928649506,0.03675921147199585,0.00253814733131759
entropy_R,1.241548179950143,0.9885208958459377,0.7721733990344637,0.4913284466697833
contrast_G,0.09259647264002283,0.37925978869633564,0.043200711172142144,0.3383589843939486
dissimilarity_G,0.06425138750405013,0.1195046060576889,0.0417954903173839,0.06837807498156047
homogeneity_G,0.02940231959699449,0.03748714020305408,0.02075895083899036,0.013653328825488444
energy_G,0.04257076828975536,0.01957571489941669,0.037259739935634376,0.007250100478854831
correlation_G,0.018307481991301208,0.04683848891573432,0.030400182263765025,0.011226183631305033
asm_G,0.03591977596194594,0.009407291006342787,0.03944175235196736,0.0025506813249717513
entropy_G,1.1774394181254648,0.9698270724206525,0.8013786273243299,0.4884619732444288
contrast_B,0.09370808704832563,0.37960670773073324,0.045466834424789916,0.33858346718776827
dissimilarity_B,0.06515632275912381,0.1195713659894559,0.044118843861368204,0.0684819399438583
homogeneity_B,0.02982463200136406,0.03749598410441155,0.021926317093533727,0.013702980951378434
energy_B,0.03757313580446455,0.019523945822062357,0.03909049200657892,0.007102098639070281
correlation_B,0.02738600521483699,0.047344771557890915,0.03205140231733134,0.01175399326333976
asm_B,0.030644670013302445,0.009326025036858974,0.04159390896742498,0.002512281528556375
entropy_B,1.1020968570153922,0.972989557921894,0.880753440209179,0.48208421544541874
